year,state,Per capita personal income,Population
1951,AR,970.0,1901000.0
1951,AZ,1677.0,785000.0
1951,CA,2166.0,11134000.0
1951,CO,1881.0,1326000.0
1951,CT,2191.0,2028000.0
1951,DC,2547.0,808000.0
1951,DE,2168.0,331000.0
1951,FL,1440.0,2980000.0
1951,GA,1240.0,3531000.0
1951,IA,1647.0,2617000.0
1951,ID,1532.0,589000.0
1951,IL,2041.0,8790000.0
1951,IN,1719.0,4096000.0
1951,KS,1622.0,1950000.0
1951,KY,1172.0,2941000.0
1951,LA,1234.0,2769000.0
1951,MA,1857.0,4654000.0
1951,MD,1895.0,2441000.0
1951,ME,1360.0,916000.0
1951,MI,1896.0,6497000.0
1951,MN,1595.0,3010000.0
1951,MO,1574.0,4015000.0
1951,MS,866.0,2163000.0
1951,MT,1834.0,596000.0
1951,NC,1217.0,4120000.0
1951,ND,1480.0,604000.0
1951,NE,1667.0,1316000.0
1951,NH,1538.0,529000.0
1951,NJ,2024.0,5006000.0
1951,NM,1410.0,717000.0
1951,NV,2315.0,168000.0
1951,NY,2020.0,14890000.0
1951,OH,1841.0,8061000.0
1951,OK,1319.0,2210000.0
1951,OR,1876.0,1556000.0
1951,PA,1719.0,10461000.0
1951,RI,1779.0,784000.0
1951,SC,1158.0,2167000.0
1951,SD,1520.0,655000.0
1951,TN,1140.0,3372000.0
